dL,L_b,L_d,T_bd,lambda
21.758587586250094,26.925088897895186,48.68367648414528,78,0.010954961708123424
26.159185141311934,25.105645667480143,51.26483080879208,84,0.012261400058699
42.51953643715818,21.293785099434118,63.8133215365923,111,0.014265091973657003
37.37054585955709,22.175115624139565,59.545661483696655,87,0.01637993988194208
24.914004872314052,21.021365977542196,45.93537084985625,96,0.01174738600766188
33.23002038409629,21.068766041264706,54.298786425361,120,0.011381784446647662
29.156986754740515,27.79193903645254,56.948925791193055,108,0.009583353098116193
31.155197250625715,24.63335252255504,55.788549773180755,108,0.01091996353171647
32.61004439855922,24.17509152375535,56.785135922314566,96,0.012833249871996322
26.642665504929376,27.84748146448868,54.490146969418056,87,0.011131592258333352
28.39354628783874,27.18741648849052,55.58096277632926,81,0.012736441492101028
30.204279316720875,28.339209752923143,58.54348906964402,72,0.014537627792665032
34.084374837827966,27.98967578319336,62.07405062102133,96,0.01196974495762396
22.2235303297816,27.576477019208223,49.80000734898982,69,0.012358083990594296
30.39188797573877,27.751710568925134,58.1435985446639,84,0.012702900762529617
27.94473726635067,28.50228611846817,56.44702338481884,87,0.011331262822420335
25.39639980378261,24.079649556068052,49.47604935985066,84,0.012368046552668814
32.40635735550509,24.311227630662103,56.71758498616719,129,0.009474212079694051
28.29866694312341,26.0125310999487,54.31119804307211,102,0.010412185323600382
25.45516200416963,26.82147393936053,52.27663594353016,93,0.010352449293761955
43.41232828384522,23.08443405987972,66.49676234372494,99,0.015417815509784712
30.626701747201444,35.643325210436096,66.27002695763754,90,0.009941384136842682
29.389560415897755,37.1923924697416,66.58195288563935,81,0.010371896681129708
17.958313443487953,38.75122670720674,56.70954015069469,54,0.010173138458235923
24.287524114067438,43.92008307123477,68.20760718530221,54,0.011760219791161455
41.92531622940653,33.98436869444873,75.90968492385527,108,0.010735302225215383
27.998827112511343,31.747325487815125,59.74615260032647,75,0.012162810047834599
46.657853834515564,31.65796623031285,78.31582006482842,138,0.009469095575449173
33.00279217202293,30.287651633781948,63.29044380580488,111,0.00957890055649999
19.64918215957517,38.715619677427114,58.36480183700228,51,0.01161142840776035
26.00183598552755,35.525190557776895,61.527026543304444,60,0.013206298067148117
24.987021787948606,31.29289141716915,56.27991320511776,60,0.014113085600216882
25.091351601752194,33.0351625012321,58.126514102984295,63,0.012939586509482277
31.95070640108336,40.51278031114682,72.46348671223018,63,0.013315509962751338
20.05518098276007,39.232254877555334,59.287435860315405,42,0.014183003469158899
27.49069121195417,25.857722676547084,53.348413888501256,81,0.012899384666072726
23.83073788913093,29.382728389778443,53.21346627890937,69,0.012417724871648184
27.316745040454443,26.469601057435504,53.78634609788995,72,0.014206993522802337
29.837106227295447,29.375756955092843,59.21286318238829,72,0.014045619278606468
24.791250596370062,37.571547681357416,62.36279827772748,69,0.010594856790855076
20.117978324009727,29.975607217907324,50.09358554191705,51,0.014526213728944288
33.93960214698035,23.87640517544485,57.8160073224252,114,0.011191959130854133
31.720571390561627,22.86569748507988,54.58626887564151,114,0.01101186983388553
31.772553443438422,27.68213346622679,59.45468690966521,81,0.013615251956359665
22.990147955575857,25.455761539325835,48.44590949490169,72,0.012894203213851058
25.723364575035745,32.32498962127373,58.048354196309475,78,0.010828272527453338
22.096737737252607,28.672456159278592,50.7691938965312,75,0.010990504779040837
28.05343593975733,24.97354117308516,53.02697711284249,114,0.009529176334258291
31.21878849937763,25.390163383815775,56.608951883193406,138,0.008382322708005902
47.83965596381732,28.669699101544115,76.50935506536143,129,0.01097759223927963
52.7073374535335,25.7707186222983,78.4780560758318,150,0.010710376922606828
29.741747307186976,30.313221862801292,60.05496916998827,90,0.010959293629166266
47.22291311724796,36.17981574017846,83.40272885742642,126,0.0095627740281885
29.0475336547045,36.0167875152006,65.0643211699051,84,0.01015710873026486
28.905371554887928,39.170057298778865,68.07542885366679,54,0.0147663505023222
20.769775459316186,39.96062724199669,60.730402701312876,45,0.013418660158047437
30.711360146199823,34.890383667411655,65.60174381361148,72,0.012651454205395849
34.34314736622032,28.97922719909702,63.32237456531735,72,0.0156624477019964
36.45202232784574,31.20216960382218,67.65419193166792,117,0.009543016918359957
25.028121035106153,41.35941990050655,66.3875409356127,66,0.010343887319444156
27.386739499555752,42.99234917653745,70.3790886760932,57,0.012474857705639157
40.13436715007996,32.105594264676945,72.2399614147569,90,0.012999693549418514
34.471826147847366,33.46427040887872,67.93609655672608,75,0.013620756879554526
30.77510795786008,33.77340676847144,64.54851472633152,72,0.01297911369405422
30.79326529074973,32.93566293413611,63.72892822488584,75,0.012697304118804563
25.84591278135944,27.041652222889805,52.88756500424925,84,0.011520776809523717
29.541500423997157,28.703167729492023,58.24466815348918,108,0.009452926151646104
34.88075655693355,21.030823246300354,55.911579803233906,120,0.011755348202807603
28.358501855020354,24.29694889461535,52.655450749635705,102,0.010939291421964967
22.11369698651295,26.94073300065933,49.05442998717228,63,0.013723719438159617
19.247236508481112,23.80932376827808,43.05656027675919,78,0.010957774661337974
20.91288044090351,26.675891490936348,47.58877193183986,75,0.01113446318984965
42.743961428218704,28.145090123839033,70.88905155205774,123,0.01083479317057468
27.23091848878965,23.11016373931994,50.34108222810959,102,0.011011850492039493
25.16014410408167,23.28974231821857,48.44988642230024,90,0.011742206735864135
22.295026166302634,19.555426811121983,41.85045297742462,90,0.012196380154668902
22.05017206024391,23.301413408893595,45.351585469137504,81,0.011860932339822912
25.86858597765972,22.260618666052935,48.129204643712654,75,0.01483225191707292
28.573867015834384,24.263713348534576,52.83758036436896,72,0.015593945032981277
25.514111268205404,22.531662958394122,48.04577422659953,84,0.013005425606333124
28.3755085759021,23.03270078498746,51.40820936088956,90,0.012870168574602894
31.534001390730637,24.327660597347347,55.861661988077984,99,0.012113746494641132
38.545092106583944,26.197844623869806,64.74293673045375,150,0.008701831238170747
34.07269152511064,17.927693223778967,52.00038474888961,99,0.015518509401681875
33.80367900230232,23.911996120045306,57.71567512234762,108,0.011770635450468338
27.70642685092492,23.948819028745426,51.655245879670346,93,0.011924304894468395
30.672568249647497,25.52580731730191,56.19837556694941,96,0.011860123320920233
28.942713128895694,27.27185264909635,56.21456577799204,84,0.012422991505768002
21.441059459738433,31.923243345768284,53.36430280550672,111,0.006678087950809239
19.455516966736702,34.08396574711986,53.539482713856565,60,0.010858499897865486
35.34699821988919,26.823171155575313,62.1701693754645,114,0.01063809386082952
29.038440145318283,26.799724194237513,55.838164339555796,90,0.011767037341853123
48.35970698438257,28.480193563978094,76.83990054836066,147,0.009740793879156951
36.440748032244244,24.720639351563413,61.16138738380766,129,0.010131047107706905
23.734944387888053,27.655056404843453,51.390000792731506,66,0.013544611967295547
21.383336748367384,32.02978203690119,53.41311878526857,69,0.010692465867886441
33.507245317644504,29.91642258829706,63.423667905941564,87,0.012460731560311656
28.305361363203808,32.04776220650397,60.353123569707776,75,0.0121760642386647
34.34948840137976,27.220453744179217,61.569942145558976,108,0.01090310275233726
16.12002057963499,41.094785359394514,57.2148059390295,51,0.009361435207587086
22.302512198875267,31.63169125466037,53.93420345353564,75,0.010264397099755579
22.22099047900207,32.10033949692162,54.32132997592369,63,0.012046511852235826
30.023776572093023,29.20866118924128,59.2324377613343,102,0.009999914024605155
24.915718834212594,28.996977229868495,53.91269606408109,90,0.009941361581060295
32.643913411296296,30.319379540287176,62.963292951583476,78,0.013516291856412914
26.34627679812531,23.842938752556385,50.189215550681695,90,0.011931281462032461
25.96980843854816,27.636116470583477,53.60592490913164,72,0.013275521796121941
29.205969479009912,25.526954146097157,54.73292362510707,78,0.014107532243571409
33.98186861946386,33.74477107689558,67.72663969635944,96,0.010469369277583618
29.55352853004406,27.363988167785518,56.917516697829576,99,0.010672668761322
28.37649620516678,24.013572834568144,52.390069039734925,96,0.011723367643423594
28.9627565767507,27.084892298227558,56.04764887497826,90,0.011657394457011869
27.607870807368386,25.730901422191657,53.33877222956004,81,0.01298373601724636
25.507093304135566,30.82853432584686,56.335627629982426,66,0.013178504469730658
26.90863953252806,29.846700317766018,56.75533985029408,81,0.01144672458342172
26.72052814110957,35.377354770598885,62.09788291170845,63,0.012884411185834737
18.335851720586767,33.56787223745493,51.903723958041695,48,0.013099103331969597
27.68791519901159,25.407571973269185,53.09548717228078,87,0.012222192315633392
30.564047291252564,22.478317318707703,53.042364609960266,84,0.014745369635102238
26.313143753145816,30.81864923531281,57.13179298845863,72,0.01236791911908706
21.846882783345357,29.789669036766043,51.6365518201114,75,0.010581074245324645
31.048190436767438,25.854390010844494,56.90258044761193,78,0.014590830906936718
25.791193737574687,27.477057053247528,53.268250790822215,87,0.010977567989860184
24.855284360844465,28.38648247627669,53.241766837121155,84,0.010801837621328086
41.95536409397737,24.93864294726165,66.89400704123902,120,0.0118624500427721
23.472839435413675,24.86489479430272,48.337734229716396,84,0.011417137180992212
28.777227637807833,27.19568521119632,55.97291284900415,102,0.010209324041278873
25.93737968527992,25.182921190280744,51.120300875560666,108,0.009457876701281691
30.90155699126926,26.44079436456019,57.34235135582945,93,0.012008984341233944
27.39516533645873,33.01633981613652,60.411505152595254,57,0.015291984903396404
37.493293286742585,28.88776427823295,66.38105756497554,105,0.011431552962378522
30.584607895866828,28.031290809309706,58.615898705176534,93,0.011443589755647313
27.687860311575882,24.958574009555647,52.64643432113153,105,0.010255241079869741
32.0836002669932,22.928656462352418,55.012256729345616,111,0.011374786182572016
39.23734429458155,28.69472304186107,67.93206733644261,111,0.011200966754886688
28.58734523124351,25.778158783537492,54.365504014781,105,0.010252783819607
33.571211788139706,24.817195552846837,58.38840734098654,123,0.010035299717259138
45.49371535526663,24.4451837517905,69.93889910705713,147,0.010316631544884153
31.35878634082301,27.749882111823133,59.10866845264614,81,0.013467754057381506
23.96423950370836,28.7846817533211,52.74892125702946,63,0.013870481404935736
31.709985276772105,28.19650729958047,59.906492576352576,120,0.009059965846004174
28.554130800996578,23.975185055776475,52.52931585677305,126,0.008980800349115699
24.7646043864318,31.392483364466713,56.15708775089851,69,0.012160129858200048
20.742934759917784,25.982498252089872,46.725433012007656,81,0.010452689866619859
24.197709383813223,31.548795805285142,55.746505189098364,66,0.012443885213119534
24.224651028778094,30.226934337561143,54.45158536633924,75,0.011321858504277417
26.927404237719347,23.473314994462864,50.40071923218221,105,0.010499264020714303
26.48780386136005,30.0725589830909,56.56036284445095,84,0.010849330214593266
28.937722149883744,26.481581044934646,55.41930319481839,93,0.011455906588080066
30.902885755655937,25.906837844675188,56.809723600331125,105,0.010788618581012467
28.47247540395166,24.76621860149093,53.23869400544259,99,0.011152541128181799
25.892154149423444,22.30850005515646,48.200654204579905,87,0.012775393246948978
26.087391121626776,22.6869075511005,48.77429867272728,87,0.012692657006341066
29.464818183725782,23.84226775976458,53.307085943490364,96,0.012091727648302773
25.92997482912051,24.634066460124792,50.5640412892453,84,0.012350678267205683
27.944327173581488,23.74027192319009,51.68459909677158,87,0.01290112635093386
34.31829306693588,23.090801516935826,57.409094583871706,96,0.013687094275876527
22.17353160988454,25.744438164682407,47.91796977456695,78,0.011491102544509885
21.898629411574028,22.93590736167559,44.83453677324962,84,0.0115119346352643
34.39841317123399,29.41274464995835,63.81115782119234,117,0.009550147826068415
