dLambda_if,dLambda_ib,Lambda_b,Lambda_f,Lambda_i,T_ib,T_if,R_if,alpha
0.9782515392460884,0.7267434999310707,1.9039733957407752,2.2172711120235187,1.2390195727774302,52.0,70.0,1.7895367924279073,0.011994088650109263
0.5154174242940277,0.45125212082973665,1.5699699644426286,1.6465231844927122,1.1311057601986845,47.0,53.0,1.455675713474832,0.01022054710490733
1.3155232615817245,0.5371030120247569,1.5269554388673336,2.36128715828078,1.0457638966990555,48.0,107.0,2.2579543678397793,0.010981461030280552
1.167634889383899,0.7009999745909059,1.6237646548764164,2.098885829357073,0.9312509399731739,62.0,91.0,2.2538348572486107,0.012883316597614252
0.9234907810159605,0.5649376229683867,1.303848686919746,1.6645871601309508,0.7410963791149903,72.0,105.0,2.2461142801949507,0.011118393643628485
0.8190349305341442,0.5517506591361925,1.6216055919978674,1.901699634264616,1.0826647037304717,50.0,73.0,1.7564991522417286,0.011132916167902313
1.0760268134260615,0.6501253829819758,1.9747412199286853,2.3082107546765425,1.232183941250481,65.0,86.0,1.873268006020316,0.010529736265731069
1.3030958994781021,0.8110875778071132,1.9266846793047137,2.4411979712859333,1.1381020718078312,47.0,69.0,2.1449727856203484,0.015955932516267077
1.0605828875919798,0.5899330630417485,1.6554470167307322,2.173070017051326,1.1124871294593464,45.0,76.0,1.9533439619273696,0.012709815973466593
0.8357507740876517,0.7767783881147314,1.8238766859218605,1.8909243939473783,1.0551736198597266,74.0,78.0,1.7920504818901324,0.01078988818652343
0.7821748883357444,0.6775752899772798,1.8685885160990487,1.9648021486789797,1.1826272603432353,63.0,69.0,1.6613875010024146,0.010614327621089855
1.4234543351779905,0.6574766564426637,1.926782053208567,2.6933784546032338,1.2699241194252433,52.0,96.0,2.1208971570854436,0.011298694436105127
1.4193786433317093,0.6629437081246923,1.6908460227257096,2.5217735508921346,1.1023949075604254,54.0,109.0,2.2875410015025937,0.010952271580304776
0.8297174718873319,0.8488640520656978,2.157219405922835,2.149908351819805,1.3201908799324733,57.0,55.0,1.628482959926046,0.012791429523294848
0.9740939496168985,0.748580225004376,1.8755886147898075,2.125716824598655,1.1516228749817563,60.0,75.0,1.8458445648991906,0.011790414286149438
1.2492020012197775,0.7087972009002022,1.9575457193485286,2.4598753463383103,1.2106733451185328,61.0,91.0,2.031824154927168,0.011239291745779442
0.9891781506926159,0.6785997818191967,1.583722315956822,1.9412807645382133,0.9521026138455974,56.0,78.0,2.0389406943199835,0.013177177089656059
1.1092754571224943,0.5814309865599888,1.6703207012992032,2.14315833930059,1.0338828821780957,64.0,100.0,2.0729217750327464,0.010516656751054655
1.2561584587622776,0.5945867973883714,1.672564770048104,2.31260098625003,1.0564425274877522,62.0,105.0,2.1890457133995307,0.01076478173659626
1.22009209820085,0.75944588687176,2.0717322951537342,2.4717407797326407,1.2516486815317907,55.0,75.0,1.9747879865999451,0.013089303649943042
1.1799722206344674,0.4905272697539429,1.5622099879487528,2.223297152551829,1.0433249319173616,43.0,76.0,2.130972896876895,0.014362003211675262
1.3289040692222438,0.7367718783176194,1.863156849586867,2.4052790876850363,1.0763750184627925,62.0,92.0,2.2346106574640654,0.012608950961588053
1.0931231315366607,0.7052646176760995,1.9796182607928534,2.319222190396037,1.2260990588593763,48.0,64.0,1.8915455269605856,0.014368210945895962
1.2169199375082809,0.6199154287369267,1.636832550115338,2.2249704631759384,1.0080505256676575,59.0,98.0,2.2072013321973953,0.011655288087443854
1.2686913423902604,0.44293130671472625,1.896570842402298,2.6531121278889027,1.3844207854986423,40.0,85.0,1.9164058757853029,0.011040036964195537
1.680797346068528,0.42714976481733435,1.652435060246221,2.817067021432664,1.136269675364136,48.0,109.0,2.4792239751799143,0.012017326711890904
0.8893128059778659,0.7148107353750006,1.8593875831317273,2.049976419932096,1.16066361395423,63.0,75.0,1.766210636127459,0.010942098763981445
1.3946093203363668,0.6696560498643693,2.026027098696315,2.6654434092517745,1.2708340889154077,52.0,84.0,2.097396845505297,0.01272142687571653
