dL,dL_bi,L_b,L_d,L_i,T_bd,T_bi,R_db,lambda
2.2411999999999996,0.4590000000000001,1.9541,4.1953,2.4131,258.0,72.0,2.1469218566091803,0.0028933333333333333
1.4062,0.12929999999999997,1.7598,3.166,1.8891,174.0,21.0,1.7990680759177178,0.003466666666666667
1.7440999999999998,-0.07119999999999993,1.5723,3.3164,1.5011,204.0,-21.0,2.1092666793868853,0.0039366666666666664
1.8252000000000002,0.13470000000000004,1.6904,3.5156,1.8251,183.0,18.0,2.079744439185992,0.004343333333333333
1.9717000000000002,0.00029999999999996696,1.8857,3.8574,1.886,162.0,0.0,2.0456064061091372,0.00458
1.6904,0.26000000000000023,1.9541,3.6445,2.2141,147.0,30.0,1.8650529655595927,0.004123333333333334
1.7891,0.4588000000000001,1.8203,3.6094,2.2791,204.0,63.0,1.9828599681371202,0.0035733333333333333
1.6914,0.07099999999999995,1.8242,3.5156,1.8952,210.0,12.0,1.9272009648064905,0.0030833333333333333
1.3642000000000003,0.14600000000000013,1.8213,3.1855,1.9673,141.0,18.0,1.7490254214022953,0.0043033333333333335
2.5352000000000006,0.4616999999999998,1.6914,4.2266,2.1531,330.0,81.0,2.498876670214024,0.00293
1.625,0.12959999999999994,1.7656,3.3906,1.8952,153.0,15.0,1.9203670140462166,0.004423333333333334
1.3633000000000002,-0.06519999999999992,1.6953,3.0586,1.6301,153.0,-15.0,1.8041644546687903,0.004421666666666666
1.4970000000000003,0.08430000000000004,1.626,3.123,1.7103,174.0,12.0,1.9206642066420667,0.004131666666666667
2.2178,0.5270999999999999,1.626,3.8438,2.1531,246.0,75.0,2.3639606396063964,0.0036716666666666664
1.5019,0.1341000000000001,2.084,3.5859,2.2181,126.0,12.0,1.7206813819577735,0.00464
2.5918,0.2539999999999998,1.8301,4.4219,2.0841,216.0,33.0,2.416206764657669,0.0037966666666666665
1.4960999999999998,0.06789999999999985,1.9512,3.4473,2.0191,168.0,9.0,1.7667589175891758,0.0036383333333333333
1.8252000000000002,0.32840000000000025,1.8857,3.7109,2.2141,210.0,45.0,1.9679164236092699,0.003531666666666667
1.2978999999999998,-0.050799999999999956,1.9541,3.252,1.9033,153.0,-12.0,1.664193234737219,0.0035133333333333336
1.8886999999999998,0.3991,1.4961,3.3848,1.8952,231.0,69.0,2.26241561392955,0.0034050000000000005
1.7069999999999999,0.32879999999999976,1.6953,3.4023,2.0241,195.0,45.0,2.006901433374624,0.0038683333333333334
1.7530000000000001,0.3206,1.5654,3.3184,1.886,162.0,39.0,2.1198415740385843,0.004786666666666667
1.6914,0.20379999999999998,1.6914,3.3828,1.8952,168.0,27.0,2.0,0.004441666666666667
1.7675999999999998,0.26290000000000013,1.9512,3.7188,2.2141,132.0,27.0,1.9059040590405902,0.004855
2.2793,0.25929999999999986,1.7598,4.0391,2.0191,183.0,30.0,2.2952040004545973,0.004811666666666667
2.0439,0.34130000000000016,1.7549,3.7988,2.0962,216.0,48.0,2.1646817482477636,0.0038133333333333335
1.8906,0.3025000000000002,1.9766,3.8672,2.2791,210.0,42.0,1.9564909440453304,0.0033083333333333337
1.3125,-0.00039999999999995595,2.0195,3.332,2.0191,120.0,6.0,1.6499133448873484,0.00429
1.8866999999999998,0.5310000000000001,1.6953,3.582,2.2263,237.0,87.0,2.112900371615643,0.003101666666666666
2.0527,0.45779999999999976,1.6953,3.748,2.1531,225.0,72.0,2.2108181442812485,0.0032750000000000006
2.1347999999999994,-0.7480000000000002,2.373,4.5078,1.625,132.0,-60.0,1.8996207332490516,0.004431666666666667
1.8378999999999999,0.3971999999999998,1.7559,3.5938,2.1531,246.0,75.0,2.0466996981604875,0.002693333333333333
1.6923000000000001,0.17710000000000004,1.8389,3.5312,2.016,237.0,33.0,1.920278427320681,0.002825
1.8330000000000002,0.15660000000000007,1.96,3.793,2.1166,168.0,18.0,1.9352040816326532,0.004083333333333334
1.8241999999999998,0.18690000000000007,2.084,3.9082,2.2709,162.0,24.0,1.8753358925143953,0.003815
2.293,0.47120000000000006,1.4961,3.7891,1.9673,204.0,60.0,2.5326515607245503,0.004546666666666667
1.8388000000000002,0.1851999999999998,1.8389,3.6777,2.0241,162.0,21.0,1.9999456196639296,0.004363333333333333
2.1348,0.40379999999999994,1.7656,3.9004,2.1694,162.0,45.0,2.2091073855913,0.004541666666666667
1.4179,9.999999999998899e-05,1.7559,3.1738,1.756,132.0,0.0,1.8075061222165272,0.004331666666666667
